code,sppid,species,scinam,order,family,taxon,display
ALFL,AlderFlycatcher,Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae,birds,Alder Flycatcher
AMAV,AmericanAvocet,American Avocet,Recurvirostra americana,Charadriiformes,Recurvirostridae,birds,American Avocet
AMBI,AmericanBittern,American Bittern,Botaurus lentiginosus,Pelecaniformes,Ardeidae,birds,American Bittern
AMCO,AmericanCoot,American Coot,Fulica americana,Gruiformes,Rallidae,birds,American Coot
AMCR,AmericanCrow,American Crow,Corvus brachyrhynchos,Passeriformes,Corvidae,birds,American Crow
AMGO,AmericanGoldfinch,American Goldfinch,Spinus tristis,Passeriformes,Fringillidae,birds,American Goldfinch
AMKE,AmericanKestrel,American Kestrel,Falco sparverius,Falconiformes,Falconidae,birds,American Kestrel
AMPI,AmericanPipit,American Pipit,Anthus rubescens,Passeriformes,Motacillidae,birds,American Pipit
AMRE,AmericanRedstart,American Redstart,Setophaga ruticilla,Passeriformes,Parulidae,birds,American Redstart
AMRO,AmericanRobin,American Robin,Turdus migratorius,Passeriformes,Turdidae,birds,American Robin
AMWI,AmericanWigeon,American Wigeon,Anas americana,Anseriformes,Anatidae,birds,American Wigeon
ATSP,AmericanTreeSparrow,American Tree Sparrow,Spizella arborea,Passeriformes,Emberizidae,birds,American Tree Sparrow
ATTW,AmericanThreetoedWoodpecker,American Three-toed Woodpecker,Picoides dorsalis,Piciformes,Picidae,birds,American Three-toed Woodpecker
BADO,BarredOwl,Barred Owl,Strix varia,Strigiformes,Strigidae,birds,Barred Owl
BAEA,BaldEagle,Bald Eagle,Haliaeetus leucocephalus,Accipitriformes,Accipitridae,birds,Bald Eagle
BAIS,BairdsSparrow,Baird's Sparrow,Ammodramus bairdii,Passeriformes,Emberizidae,birds,Baird's Sparrow
BANS,BankSwallow,Bank Swallow,Riparia riparia,Passeriformes,Hirundinidae,birds,Bank Swallow
BAOR,BaltimoreOriole,Baltimore Oriole,Icterus galbula,Passeriformes,Icteridae,birds,Baltimore Oriole
BARS,BarnSwallow,Barn Swallow,Hirundo rustica,Passeriformes,Hirundinidae,birds,Barn Swallow
BAWA,BachmansWarbler,Bachman's Warbler,Vermivora bachmanii,Passeriformes,Parulidae,birds,Bachman's Warbler
BAWW,BlackAndWhiteWarbler,Black-and-white Warbler,Mniotilta varia,Passeriformes,Parulidae,birds,Black-and-white Warbler
BBCU,BlackbilledCuckoo,Black-billed Cuckoo,Coccyzus erythropthalmus,Cuculiformes,Cuculidae,birds,Black-billed Cuckoo
BBMA,BlackbilledMagpie,Black-billed Magpie,Pica hudsonia,Passeriformes,Corvidae,birds,Black-billed Magpie
BBPL,BlackbelliedPlover,Black-bellied Plover,Pluvialis squatarola,Charadriiformes,Charadriidae,birds,Black-bellied Plover
BBWA,BaybreastedWarbler,Bay-breasted Warbler,Setophaga castanea,Passeriformes,Parulidae,birds,Bay-breasted Warbler
BBWO,BlackbackedWoodpecker,Black-backed Woodpecker,Picoides arcticus,Piciformes,Picidae,birds,Black-backed Woodpecker
BCCH,BlackcappedChickadee,Black-capped Chickadee,Poecile atricapillus,Passeriformes,Paridae,birds,Black-capped Chickadee
BCNH,BlackcrownedNightHeron,Black-crowned Night-Heron,Nycticorax nycticorax,Pelecaniformes,Ardeidae,birds,Black-crowned Night-Heron
